Sample_name,Al,Ti,V,Mn,Co,Ni,Cu,Zn,Ga,Ge,Cd,La,Ce,Pr,Nd,Sm,Eu,Gd ,Tb ,Dy,Ho,Er,Tm ,Yb,Lu   ,Hg,Na,Mg ,K,Ca,Fe,Li,Be,B,Rb,Sr,Zr,Nb,Mo,Pd,Ag,In,Sn,Sb,Te,Cs,Ba,Hf,Ta,W,Os,Pt,Au,Tl,Pb,Bi ,Th ,U,Cr,As,Se  ,Si,P,S
m21/45,"556,56","5,36","8,15","113,36","0,85","1,17","0,7","3,84","0,04","0,27",<DL,"1,18","1,97","0,31","1,43","0,38","0,07","0,34","0,04","0,25","0,04","0,13",<DL,"0,1","0,01","0,78","3033,85","4817,57","323,6","108453,9","3463,19","2,48","0,03","7,47","0,15","481,82","0,17",<DL,"0,01","0,68",<DL,<DL,<DL,<DL,"0,03","0,05","2,87",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,63",<DL,"0,18","0,23","2,1","7,99",<DL,"252,14","1214,41","6044,26"
m21/46,"609,7","7,48","8,95","133,04","0,95","1,38","1,71","4,87","0,04","0,29",<DL,"1,28","2,11","0,34","1,55","0,4","0,07","0,36","0,04","0,27","0,04","0,14",<DL,"0,11","0,01",<DL,"3215,26","4888,34","246,46","108974,1","3723,6","2,72","0,03","9,24","0,15","481,37","0,01",<DL,"0,03","0,7",<DL,<DL,<DL,<DL,"0,04","0,05","3,08",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,78",<DL,"0,06","0,27","2,25","8,41",<DL,"236,55","1186,7","5596,54"
m21/47,"620,18","6,69","9,2","128,67","0,96","1,5","1,16","5,84","0,06","0,28",<DL,"1,34","2,18","0,36","1,61","0,41","0,07","0,36","0,04","0,28","0,05","0,14",<DL,"0,11","0,01","0,07","3091,48","4840,72","235,23","109540,5","3768,63","2,83","0,04","8,8","0,17","500,44","0,01",<DL,"0,06","0,76","0,21",<DL,<DL,"0,04","0,04","0,06","3,45",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,94","0,03","0,07","0,25","2,34","8,58",<DL,"284,5","1314,8","6261,53"
m21/48,"577,69","6,16","9,38",132,"0,89","1,35","1,04","4,9","0,03","0,3",<DL,"1,5","2,46","0,4","1,77","0,45","0,08","0,38","0,05","0,3","0,05","0,16","0,01","0,12","0,01","1,03","3316,08","5062,66","217,81","112954,7","3836,91","2,5","0,04","8,26","0,17","494,3","0,01",<DL,<DL,"0,66","1,73",<DL,<DL,"0,04","0,04","0,05","3,36",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"2,28",<DL,"0,06","0,24","2,37","8,55",<DL,"265,9","1275,58","6101,3"
m21/49,"558,15","5,77","8,5","118,77","0,84","1,33","13,23","15,98","0,04","0,26","0,01","1,26","2,05","0,33","1,49","0,37","0,06","0,33","0,04","0,25","0,04","0,13",<DL,"0,1","0,01","0,08","3275,97","4597,44","230,36","98594,13","3522,12","2,43","0,03","7,72","0,16",446,"0,02",<DL,"0,01","0,6","0,25",<DL,<DL,"0,03","0,03","0,05","2,93",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"2,47",<DL,"0,16","0,23","2,15","7,74",<DL,"245,36","1299,04","6001,08"
m21/50,"501,88","6,81",10,"149,46","0,88","1,47","0,97","3,93","0,06","0,34",<DL,"1,56","2,53","0,4","1,75","0,44","0,09","0,42","0,05","0,32","0,05","0,17",<DL,"0,12","0,01","1,8","4070,65",6299,"260,29","139663,7","3745,98","2,23","0,04","10,24","0,15","541,77","0,01",<DL,"0,02","0,61","0,09",<DL,<DL,<DL,"0,05","0,06","4,78",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,88",<DL,"0,11","0,27","2,51","8,23",<DL,"276,11","943,23","7187,62"
m21/51,"548,88","5,71","8,6","116,1","0,86","1,35","7,74","8,46","0,06","0,31",<DL,"1,34","2,1","0,33","1,47","0,36","0,07","0,32","0,04","0,25","0,04","0,13",<DL,"0,1","0,01","0,42","3128,01","5095,71","236,96","112168,3","3565,67","2,35","0,03","8,17","0,15","484,26","0,01",<DL,"0,01","0,54",<DL,<DL,<DL,"0,03","0,03","0,04","3,83",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,83",<DL,"0,08","0,22","2,26","8,03",<DL,"262,51","1052,43","7016,77"
m21/52,"446,26","6,66","8,21","105,22","0,64","1,01","18,05","10,74","0,04","0,27",<DL,"1,33","2,01","0,32","1,4","0,35","0,07","0,32","0,04","0,23","0,04","0,11",<DL,"0,09",0,"1,5","3604,58","6089,54","252,05","125743,5","2780,39",2,"0,03","8,66","0,19","523,67",<DL,<DL,"0,02","0,56",<DL,<DL,<DL,"0,03","0,04","0,05","3,87",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"2,3",<DL,"0,11","0,26","2,11","6,19",<DL,"227,21","1068,85","6223,87"
m21/53,"630,65","6,23","7,46","95,84","0,6","0,98","6,26","7,26","0,12","0,25",<DL,"1,82","2,45","0,37","1,55","0,36","0,07","0,31","0,04","0,23","0,04","0,12",<DL,"0,09","0,01","0,18","3684,41","4692,23","249,96","98710,41","2557,63","2,01","0,02","7,46","1,22","445,12","0,07",<DL,0,"0,48",<DL,<DL,<DL,"0,03","0,03","0,08","6,12","0,01",<DL,<DL,<DL,<DL,<DL,<DL,"1,74",<DL,"0,2","0,24","2,03","5,38",<DL,"221,04","1109,51","6063,11"
m21/54,"321,12","5,72","7,61","94,29","0,53","0,81","12,06","11,89","0,03","0,23",<DL,"1,21","1,78","0,29","1,29","0,29","0,05","0,26","0,03","0,2","0,03","0,11",<DL,"0,08",0,<DL,"2917,86","6348,12","212,17","125679,5","2092,85","1,56","0,02","6,87","0,12","529,26",<DL,<DL,<DL,"0,6",<DL,<DL,<DL,"0,02","0,05","0,03","3,73",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,66",<DL,"0,03","0,28","1,86","5,2",<DL,"151,97","1152,44","6059,77"
