Sample_name,Al,Ti,V,Mn,Co,Ni,Cu,Zn,Ga,Ge,Cd,La,Ce,Pr,Nd,Sm,Eu,Gd ,Tb ,Dy,Ho,Er,Tm ,Yb,Lu   ,Hg,Na,Mg ,K,Ca,Fe,Li,Be,B,Rb,Sr,Zr,Nb,Mo,Pd,Ag,In,Sn,Sb,Te,Cs,Ba,Hf,Ta,W,Os,Pt,Au,Tl,Pb,Bi ,Th ,U,Cr,As,Se  ,Si,P,S
m21/15_28-30,"6366,14","43,25","22,33","100,47","5,06","8,65","6,83","14,68","3,03","0,57","0,04","10,98","21,6","2,65","10,33","2,17","0,46","1,74","0,24","1,3","0,23","0,63","0,06","0,47","0,06","4,85","4945,61","5082,17","2368,78","32552,39","10109,81","9,74","0,36","21,93","4,3","77,17","0,11",<DL,"0,01","0,47","0,18","0,01","0,25","0,05","0,02","0,91","95,69",<DL,<DL,<DL,<DL,<DL,<DL,"0,04","6,76","0,1","0,31","0,26","12,61","2,54",<DL,"2505,33","689,3","4193,4"
m21/15_30-31,"3110,05","43,51","14,9","96,85","2,17","3,9","3,26","6,08","0,53","0,4","0,04","7,96","13,4","1,81","7,11","1,45","0,31","1,19","0,16","0,91","0,17","0,46","0,04","0,34","0,04","2,77","2006,93","3710,89","1081,11","71994,43","5900,1","4,28","0,2","11,41","2,42","168,12","0,09","0,02","0,01","0,46","0,1",<DL,"0,1","0,02","0,02","0,54","7,96",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"4,07","0,03","0,47","0,25","7,37","2,63",<DL,"2207,66","727,52","4300,85"
m21/15_35-36,"5409,43","42,28","23,5","231,11","5,19","8,77","7,16","11,82","0,97","0,53","0,1","13,98","27,53","3,56","14,12","2,97","0,63","2,44","0,35","1,86","0,34","0,93","0,1","0,71","0,09","5,28","2955,35","3684,87","2073,31","15266,44","9765,5","8,27","0,43","24,08","2,84","27,51","0,14",<DL,<DL,"0,91","0,07",<DL,"0,3",<DL,"0,01","0,35","25,24",<DL,"1,09",<DL,<DL,<DL,<DL,"0,04","8,33","0,09","1,04","0,22","12,09","1,24",<DL,"2047,55","727,93","4075,23"
m21/15_45-46,"7557,68","41,85","32,99","169,59","5,62","12,18","9,88","17,03","1,66","0,64","0,12","20,17","40,21","5,26","20,7","4,43","0,93","3,62","0,51","2,73","0,5","1,36","0,16","1,04","0,14","4,68","4630,37","4443,82","2955,49","12096,36","13348,31","11,58","0,59","29,33","3,53","20,55","0,11",<DL,<DL,"1,37","0,08","0,01","0,54",<DL,"0,02","0,53","67,78","0,01","0,95",<DL,<DL,<DL,<DL,"0,06","11,88","0,13","1,42","0,28","15,94","1,12",<DL,"1951,47","676,22","3387,68"
m21/15_48-49,"1823,79","34,44","10,02","50,66","1,45","2,65","4,45","4,4","0,64","0,32","0,02","3,88","7,38","1,01","4,03","0,8","0,16","0,65","0,08","0,47","0,08","0,23","0,02","0,17","0,02","2,23","2834,62","1521,58","759,56","13123,21",3472,"2,54","0,13","8,96","1,81","27,97","0,02","0,01",<DL,<DL,"0,06",<DL,<DL,<DL,0,"0,35","9,09",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"2,29",<DL,"0,29","0,09","6,41","1,2",<DL,"1274,01","977,3","5169,95"
m21/15_50-51,"1542,84","30,88","9,67","58,92","1,29","2,15","2,75","3,76","0,54","0,31","0,01","3,21","10,64","0,81","3,23","0,63","0,13","0,53","0,06","0,36","0,06","0,17","0,01","0,13","0,01","2,29","2476,94","1387,71","646,76","11729,91","3290,04","2,08","0,1","7,26","1,65","28,27","0,11","0,02",0,<DL,<DL,<DL,<DL,<DL,"0,01","0,32","5,7",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,98",<DL,"0,27","0,07","5,82","1,3",<DL,"1100,45","1016,25","5121,18"
m21/15_51-52,"4183,72","49,45","18,01","101,29","3,23","6,24","4,78","8,73","1,13","0,52","0,02","27,57","19,15","2,28","9,16","1,91","0,41","1,66","0,22","1,19","0,21","0,59","0,06","0,45","0,06","2,44","3001,65","2263,99","1562,74","9367,41","7462,09","5,82","0,3","16,1","2,84","18,07","0,06",<DL,<DL,"0,67",<DL,<DL,"0,13",<DL,"0,01","0,47","23,38",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"6,13","0,05","0,62","0,11","10,73","1,28",<DL,1982,"841,71","4251,19"
m21/15_5-6,"231,1","5,75","5,18","41,34","0,25","0,51","0,98","1,9","0,15","0,17","0,03","1,69","1,83","0,36","1,48","0,3","0,06","0,27","0,03","0,2","0,03","0,1",<DL,"0,08",0,"2,82","1609,82","3735,07","225,05","127681,2","1029,02","0,74","0,02","5,22","0,21","337,8","0,03",<DL,<DL,"0,44",<DL,<DL,<DL,"0,05","0,03","0,04","5,74",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,75",<DL,"0,04","0,3","1,43","2,55",<DL,"155,75","1180,27","5660,72"
m21/16_10-11,"251,93","6,37","4,89","39,52","0,24","0,69","8,5","2,66",<DL,"0,15","0,03","1,12","1,57","0,27","1,17","0,24","0,05","0,22","0,02","0,16","0,02","0,08",<DL,"0,06",0,"1,49","1456,42","3321,5","219,88","96534,66","933,51","0,7","0,02","4,43","0,25","291,46",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,02","0,04",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,94",<DL,<DL,"0,24","1,26","2,19",<DL,"159,65","1271,62","5882,94"
m21/16_1-2,"404,98","8,69","5,18","41,23","0,31","0,7","1,61","2,69",<DL,"0,16","0,06","1,63","2,09","0,37","1,5","0,3","0,06","0,27","0,03","0,21","0,03","0,1",<DL,"0,08",0,"2,06","2807,17","4315,73","417,19","88558,66","1121,95","0,96","0,03","8,95","0,45","252,81",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,02","0,07","1,1",<DL,<DL,<DL,<DL,<DL,<DL,<DL,1,<DL,<DL,"0,22","1,53","2,06",<DL,"297,83","1166,89","5958,95"
m21/16_13-14,"1201,38","20,95","8,79","49,27","0,7","2,11","2,47","5,09","0,13","0,26","0,07","3,14","5,11","0,77","3,18","0,67","0,14","0,58","0,07","0,44","0,08","0,23","0,02","0,17","0,02","1,34","2509,26","5132,38","622,98",119850,"2392,1","2,14","0,12","9,52","1,16","258,91","0,08","0,03",<DL,"1,35",<DL,<DL,<DL,"0,06","0,02","0,17","2,77",<DL,"5,38",<DL,<DL,<DL,"0,1",<DL,"2,62",<DL,<DL,"0,37","3,25","2,15",<DL,"789,66","1208,19","5691,82"
m21/16_24-26,"220,25","5,86","4,66","39,83","0,25","0,51","4,71","4,41",<DL,"0,16","0,02","1,14","1,44","0,26","1,11","0,23","0,04","0,2","0,02","0,15","0,02","0,08",<DL,"0,06",0,"0,63","878,25","3398,15","171,93","91476,7","1013,28","0,63","0,02","4,02","0,2","285,13",<DL,<DL,<DL,<DL,<DL,<DL,"11,36",<DL,"0,02","0,04","0,33",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,27",<DL,<DL,"0,3","1,16","2,65",<DL,"146,22","1188,59","5589,85"
m21/16_36-38,"2614,11","28,96","11,72","58,77","1,83","3,75","3,58","18,5","0,39","0,38","0,09","4,92","9,46","1,27","5,16","1,09","0,22","0,91","0,12","0,68","0,12","0,34","0,03","0,26","0,03","0,86","2696,61","3935,93","1061,85","74502,09","4254,23","4,21","0,18","14,08","2,16","211,3","0,06",<DL,<DL,"0,73",<DL,<DL,"0,65",<DL,"0,02","0,31","4,63",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"4,01",<DL,"0,2","0,27","5,13","2,02",<DL,"1611,05","1110,83","4961,37"
m21/16_46-48,"297,95","7,21","4,98","49,88","0,31","0,37","1,22","0,19",<DL,"0,16","0,03","1,31","1,77","0,31","1,28","0,26","0,05","0,24","0,02","0,18","0,03","0,1",<DL,"0,07",0,"2,08","2225,52","3786,98","262,03","97137,73","1187,51","0,79","0,02","3,69","0,28","300,8","0,09","0,01",<DL,<DL,<DL,<DL,"0,03","0,04","0,02","0,06","0,99",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,79",<DL,"0,06","0,2","1,36","2,47",<DL,"223,24",1229,"5764,77"
m21/16_58-60,"6656,57","37,17","28,07","144,12","4,6","10,93","8,27","15,58","2,14","0,63","0,09","14,74","30,57","4,05","16,08","3,47","0,73","2,85","0,4","2,12","0,38","1,03","0,12","0,8","0,1","2,75","7047,95","4646,99","2854,33","13359,85","11514,96","10,22","0,57","30,67","3,21","18,46","0,29","0,02",<DL,"1,29","0,06",<DL,"0,49",<DL,"0,01","0,34","81,1",<DL,<DL,<DL,<DL,<DL,<DL,"0,04","11,79","0,11","0,93","0,21","13,42","1,29",<DL,"1748,11","932,14","4106,31"
m21/17_17-18,"7066,61","42,14","28,01","333,95","5,72","10,95","7,99","14,43","1,17","0,58","0,07","17,54","34,24","4,68","18,55","3,9","0,83","3,28","0,46","2,44","0,44","1,22","0,13","0,93","0,12","4,25","2126,09","4195,62","2450,03","13470,37","11981,65","11,88","0,54","28,04","3,44","18,55","0,06",<DL,<DL,"1,36","0,06",<DL,"0,56",<DL,"0,03","0,55","29,76",<DL,"0,88",<DL,<DL,<DL,<DL,"0,05","10,85","0,12","1,11","0,24","16,1","1,24",<DL,"1728,16","760,58","3183,63"
m21/17_23-25,"2276,93","39,17","12,09","336,66","2,49","3,34","3,56","3,19","1,27","0,36","0,04","4,1","9,3","1,06","4,26","0,87","0,18","0,73","0,09","0,52","0,09","0,26","0,02","0,2","0,02","15,05","631,35","1360,34","702,27","16554,57","4510,73","3,29","0,17","9,49","2,08","58,36","0,02","0,03","0,07",<DL,"3,9","0,01","0,03","0,08","0,02","0,38","24,01",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"3,18","1,99","0,24","0,09","7,19","1,73","0,04","1340,26","1002,3","4627,36"
m21/17_30-31,"9341,21","36,41","32,71","552,57","7,86","15,25","9,12","22,01","4,05","0,72","0,11","23,13","73,36","6,02","23,85","5,04","1,06","4,12","0,57","3,04","0,55","1,48","0,17","1,12","0,15","4,21","2998,4","4972,66","3388,19","5071,36","14538,09","16,15","0,63","32,61","4,17","9,82","0,16",<DL,"0,02","1,47","0,41","0,01","0,67",<DL,"0,03","0,98",#ARG!,<DL,<DL,<DL,<DL,<DL,<DL,"0,08","13,23","0,18","1,37","0,29","18,28","1,49",<DL,"1730,34","707,83","2971,64"
m21/17_40-42,"443,7","8,79","4,77","42,32","0,41","0,67","1,58","0,16","0,66","0,16","0,03","1,07","1,58","0,26","1,12","0,23","0,05","0,21","0,02","0,16","0,02","0,08",<DL,"0,06",<DL,"1,53","510,95","3007,35","226,24",59042,"1229,9","0,95","0,02","3,68","0,49","182,49","0,02",<DL,<DL,<DL,"0,12",<DL,<DL,<DL,"0,01","0,1","14,79",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,04",<DL,"0,09","0,14","1,47","1,98","0,03","322,53","1185,9","5357,33"
m21/17_51-53,"6597,79","35,85","26,31","90,2","5,31","9,72","8,25","11,97","1,07","0,65","0,07","18,72","38,27","5,29","20,3","4,53","1,13","3,81","0,7","2,92","0,67","1,52","0,3","1,2","0,29","27,72","2725,43","3271,52","2251,48","5984,77","10957,21","10,79","0,58","27,58","2,86","11,74","0,03","0,03",<DL,"1,68","6,02","0,76","0,45",<DL,"0,01","0,41","22,39",<DL,"1,6",<DL,<DL,<DL,<DL,"0,06","11,62","15,15","2,38","0,54","15,39","0,93","0,02","1706,59","667,8","2893,53"
m21/17_60-62,"1584,97","22,54","8,91","235,09","2,45","3,58","28,15","11,38","0,44","0,32","0,02","3,83","7,22","1,02","4,15","0,85","0,18","0,73","0,09","0,53","0,09","0,26","0,02","0,19","0,02","1,95","1981,4","2858,39","681,32","52399,62","3112,73","2,96","0,12","8,86","1,25","131,57",<DL,<DL,"0,04","0,45","0,17",<DL,<DL,<DL,"0,01","0,21","9,06",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"2,11","0,05","0,17","0,16","3,92","1,62",<DL,"1021,49","1061,92","5161,4"
m21/17_65-66,"1487,38","36,65","8,5","258,66","1,88","4,91","2,31","3,34","1,03","0,34","0,05","4,02","6,06","1,05","4,27","0,85","0,18","0,71","0,09","0,49","0,08","0,24","0,02","0,18","0,02","1,83","2268,85","3036,06","576,69","81655,98","3260,71","2,6","0,07","6,67","0,99","226,53","0,1","0,03","0,06","0,51","0,07",<DL,<DL,<DL,"0,02","0,18","27,44",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,65",<DL,"0,16","0,24","3,77","2,27",<DL,"976,56","1135,57","5205,59"
m21/17_70-71,"1615,62","44,16","8,77","233,95","1,98","6,03","13,18","49,3","0,57","0,39","0,05","4,21","6,5","1,09","4,45","0,86","0,18","0,7","0,08","0,45","0,08","0,22","0,01","0,16","0,01","0,87","2567,06","3524,63","600,39","84945,73","3588,68","2,69","0,07","6,16","1,13","272,63","0,03",<DL,"0,08","0,53","0,07",<DL,<DL,<DL,"0,03","0,19","11,92",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"2,26",<DL,"0,13","0,23","3,83","2,6",<DL,"1129,49","1149,84","5496,43"
m21/17_7-8,"4098,83","47,88","17,46","48,99","3,24","6,32","5,84","11,72","0,58","0,47","0,05","8,58","16,91","2,27","9,06","1,86","0,39","1,57","0,21","1,11","0,2","0,56","0,05","0,42","0,05","0,74","2048,05","3007,7","1548,85","25483,87","6872,23","6,58","0,32","18,72","2,82","37,29","0,1","0,02",<DL,"0,73","0,07",<DL,"0,3",<DL,"0,01","0,48",6,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"7,14","0,06","0,23","0,23","9,97","1,42",<DL,"2084,35","1115,28","4813,04"
M21/18,"151,76","6,37","5,47","45,94","0,24","0,58","1,15","0,51",<DL,"0,17","0,04","1,25","1,61","0,3","1,26","0,26","0,05","0,23","0,02","0,18","0,03","0,09",<DL,"0,07",0,"0,43","829,78","6198,48","164,71","98383,16","1125,26","0,48","0,01","5,47","0,12","261,1","0,01",<DL,"0,02","0,39","0,06",<DL,<DL,<DL,"0,02","0,03",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,67",<DL,"0,06","0,28","1,37","2,9",<DL,"97,2","1241,91","5701,74"
M21/19,"135,31","4,67","4,9","43,34","0,2","0,43","0,98","1,66",<DL,"0,16","0,08","1,3","1,51","0,31","1,3","0,27","0,05","0,24","0,02","0,17","0,03","0,09",<DL,"0,07",0,"0,29","786,07","4543,29","178,95","100095,3","887,49","0,47","0,01","3,1","0,13","263,9",<DL,<DL,"0,01",<DL,<DL,<DL,<DL,"0,08","0,02","0,02",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,75",<DL,<DL,"0,25","1,18","2,7",<DL,"78,4","1179,82","5817,54"
M21/20,"125,4","4,05","4,36","36,84","0,16","0,37","0,93","0,56",<DL,"0,15","0,04","3,11","1,29","0,31","1,34","0,27","0,05","0,23","0,02","0,18","0,03","0,09",<DL,"0,07",0,<DL,"1105,92","3495,33","158,68","142626,3","837,48","0,53","0,01","3,24","0,08","393,45",<DL,<DL,<DL,"0,47",<DL,<DL,<DL,<DL,"0,02","0,03","0,89",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,48",<DL,<DL,"0,33","1,13","2,3",<DL,"85,73","1217,24","5932,58"
M21/21,"93,7","2,5","2,35","17,73","0,1","0,11","11,05","5,09","0,45","0,11","0,02","0,83","0,77","0,19","0,82","0,15","0,03","0,14","0,01","0,09","0,01","0,04",<DL,"0,03",<DL,<DL,"678,93","2890,79","144,27","85106,61","451,26","0,3",<DL,"2,32","0,1","245,96",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,01","0,01","10,66",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,53",<DL,<DL,"0,17","0,53","1,09",<DL,"75,89","1172,19","5690,17"
m21/22,"164,34","5,29","4,2","38,23","0,17","0,4","1,23","1,34",<DL,"0,15","0,01","1,35","1,43","0,3","1,29","0,25","0,05","0,23","0,02","0,16","0,02","0,08",<DL,"0,06",<DL,"0,58","1173,26","7393,15","202,22","124231,5","700,45","0,66","0,01","3,8","0,17","396,39","0,21","0,07",<DL,"0,47",<DL,<DL,"5,8",<DL,"0,02","0,02","0,83",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,52",<DL,"0,14","0,33","1,11","2,25",<DL,"91,95",1250,"6272,71"
m21/23_23-26,"87,6","2,4","2,37","20,22","0,09","0,02","0,95","0,33",<DL,"0,1","0,06","0,97","0,93","0,22","0,98","0,19","0,04","0,19","0,02","0,14","0,02","0,07",<DL,"0,05",<DL,"0,18","519,45","1946,28","150,44","82309,81","399,16","0,32",0,"1,97","0,06","198,52","0,02",<DL,<DL,<DL,<DL,<DL,"0,1",<DL,"0,01","0,01",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,38",<DL,<DL,"0,2","0,6","0,93",<DL,"65,46","1200,95","5817,46"
m21/23_37-39,"54,72","1,67","2,31","27,03","0,11",<DL,"0,86",<DL,<DL,"0,09","0,03","0,76","0,85","0,16","0,67","0,13","0,02","0,11","0,01","0,08","0,01","0,04",<DL,"0,03",<DL,"0,14","846,31","2752,52","153,29","91856,88","351,63","0,25",<DL,"1,71","0,04","256,54","0,02",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,01",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,59",<DL,<DL,"0,2","0,7","0,97",<DL,"42,6","1219,21","5752,28"
m21/25a_45-47,"971,64","15,96","5,9","109,88","0,97","1,47","1,79","0,85","0,21","0,24","0,01","2,66","3,92","0,68","2,78","0,53","0,1","0,43","0,05","0,29","0,05","0,14",<DL,"0,1","0,01","1,6","647,35","1697,28","446,5","33002,81","1753,53","1,56","0,07","5,4",1,"90,08","0,06",<DL,<DL,<DL,"0,06",<DL,<DL,<DL,0,"0,14","3,09",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,95",<DL,"0,04","0,09","3,06","0,99",<DL,"705,17","1154,36","5323,57"
m21/25a_72-74,"522,76","10,84","4,04","23,79","0,34","0,61","2,71","3,56","0,09","0,21","0,02","2,03","2,73","0,47","1,94","0,37","0,07","0,31","0,03","0,21","0,03","0,1",<DL,"0,07",0,"0,76","980,77","2412,79","284,59","42060,84","1484,94","0,91","0,03","3,39","0,51","97,55","0,22",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,1","1,62",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,89",<DL,"0,28","0,12","1,75","1,16",<DL,"337,89","1210,71","4961,12"
m21/25b_44-49,"461,74","11,1","4,35","20,25","0,41","0,43","1,3","0,51","0,52","0,16","0,05","1,67","2,2","0,39","1,59","0,3","0,05","0,24","0,02","0,16","0,02","0,08",<DL,"0,05",<DL,"0,45","1245,66","2278,16","274,85","39707,4","1053,08","0,84","0,02","2,71","0,5","107,57","0,04",<DL,<DL,<DL,<DL,<DL,<DL,<DL,0,"0,1","10,69",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,58",<DL,"0,06","0,13","1,84","0,94","0,01","310,58","1149,66","5286,52"
m21/25b_54-56,"1077,13","20,07","7,9","56,47",1,"1,45","2,55","8,14","0,26","0,28","0,02","3,54","5,58","0,89","3,58","0,67","0,13","0,55","0,06","0,37","0,06","0,18",<DL,"0,13","0,01","1,3","1228,39","1853,67","497,64","28722,45","2488,21","1,75","0,09","5,82","1,07","69,72","0,1",<DL,<DL,<DL,"0,05",<DL,<DL,<DL,"0,01","0,18","3,67",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,34",<DL,"0,1","0,09","3,94","1,13",<DL,"661,51","1098,34","5071,28"
m21/25c,"689,8","12,27","5,29","46,65","0,5","0,92",1,"0,2","0,04","0,19","0,03","1,82","2,31","0,44","1,78","0,36","0,07","0,31","0,03","0,22","0,03","0,11",<DL,"0,08",0,"0,52","787,91","3706,79","309,72","80905,3","1528,03","1,4","0,04","4,35","0,72","243,53","0,19",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,01","0,13","0,49",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,68",<DL,"0,11","0,22","1,97","1,94",<DL,"515,55","1116,98","5289,61"
m21/25c_20-24,"1341,71","24,99","8,41","30,9","0,93","1,76","3,23","19,33","0,43","0,3","0,02","2,82","6,05","0,71","2,89","0,59","0,12","0,49","0,06","0,35","0,06","0,17","0,01","0,13","0,01","1,34","921,04","1493,52","459,42","24893,96","2899,83","2,07","0,11","5,53","1,3","73,26","0,12",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,01","0,21","5,51",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,86",<DL,"0,15","0,09","4,62","1,65",<DL,"736,1","1141,82","5030,13"
m21/25c_65-67,"695,64","14,35","6,79","42,14","0,49","1,3","2,81","4,54","0,09","0,23","0,07","2,75","4,13","0,69","2,88","0,6","0,12","0,48","0,06","0,37","0,06","0,19","0,01","0,14","0,01",2,"1656,99","5980,37","372,36","176014,8","1812,22","1,45","0,07","6,38","0,74","410,25","0,18","0,03",<DL,"0,64",<DL,<DL,<DL,<DL,"0,03","0,14","4,44",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,6",<DL,"0,22","0,35","2,2","2,16",<DL,"505,93","1219,65","5576,48"
m21/25d_28-32,"555,55","11,15","4,86","61,09","0,48","0,77","2,03","1,8","0,23","0,2","0,1","2,73","2,78","0,44","1,83","0,38","0,07","0,33","0,04","0,25","0,04","0,13",<DL,"0,09","0,01","0,75","822,5","3293,39","292,55","89208,25","1357,38","1,24","0,03","4,18","0,54","252,89","0,02",<DL,"0,04","0,4",<DL,<DL,<DL,<DL,"0,01","0,12","6,35",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,42",<DL,"0,07","0,23","2,06","1,88",<DL,"389,89","1131,44","5626,08"
m21/25d_68-72,"404,1","9,61","4,14","31,98","0,28","0,35","2,05","1,43",<DL,"0,17","0,02","1,32","1,97","0,32","1,33","0,27","0,05","0,23","0,02","0,16","0,02","0,08",<DL,"0,06",0,"0,35","1237,18","2664,97","272,86","67030,17","1018,12","0,91","0,02","3,59","0,42","209,58","0,16","0,03",<DL,<DL,<DL,<DL,<DL,<DL,"0,01","0,08",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,66",<DL,"0,14","0,18","1,42","1,81",<DL,"275,24","1151,44","5427,02"
m21/26,"1333,98","21,69","7,28","44,85","0,87","1,89","4,56","4,59","0,2","0,29","0,05","2,88","5,01","0,71","2,89","0,58","0,11","0,47","0,06","0,34","0,06","0,16",<DL,"0,12","0,01","0,47","2360,11","6712,48","594,22","98830,3","2507,69","2,49","0,09","7,95","1,35","245,04","0,08",<DL,<DL,"0,46",<DL,<DL,<DL,<DL,"0,02","0,28","2,18",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,5",<DL,"0,17","0,31","3,04","2,3",<DL,"1003,31","1155,99","5320,35"
"m21/26_0,5-4","1927,3","26,69","9,38","46,99","1,25","2,41","3,09","4,5","0,23","0,34","0,06","4,04","6,93","1,03","4,18","0,86","0,17","0,69","0,09","0,5","0,09","0,26","0,02","0,19","0,02","0,37","1405,44","4101,51","659,48","58948,84","3603,87","3,33","0,17","13,34","1,7","124,53","0,02",<DL,"0,01",<DL,<DL,<DL,<DL,"0,02","0,01","0,27","0,98",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"2,7",<DL,"0,09","0,23","4,85","1,89",<DL,"1056,83","1060,28","5224,19"
m21/26_14-18,"3805,86","41,06","15,46","141,97","3,16","5,79","8,87","9,97","0,48","0,42","0,06","7,64","14,9",2,"7,93","1,69","0,34","1,37","0,19","1,02","0,18","0,51","0,06","0,4","0,05","0,44","3660,98","4785,01","1383,21","36380,24","6341,53","6,32","0,31","20,82","2,46","72,2","0,02",<DL,<DL,"0,6",<DL,<DL,"0,11",<DL,"0,02","0,32","4,32",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"5,67","0,03","0,25","0,23","8,03","1,65",<DL,"1627,94","1010,26","4655,46"
m21/26_34-37,"699,41","12,56","5,46","47,27","0,49","0,96","8,78","4,68","0,04","0,23","0,04","2,2","2,55","0,53","2,18","0,42","0,08","0,33","0,03","0,23","0,03","0,11",<DL,"0,08",0,"0,33","742,85","3417,43","303,89","75276,02","1632,52","1,42","0,05","4,69","0,69","237,37",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,01","0,13","0,32",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,13",<DL,"0,05","0,2",2,"2,01",<DL,"474,85","1180,03","5554,95"
m21/26_41-44,"621,72","11,29","5,28","41,72","0,45","0,83","3,19","2,2","0,04","0,2","0,03","2,3","4,53","0,57","2,29","0,45","0,09","0,37","0,04","0,26","0,04","0,13",<DL,"0,09",0,"0,06","857,38","3466,7","295,95","76316,26","1437,29","1,31","0,05","4,34","0,59","227,86",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,01","0,09","1,46",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,14",<DL,"0,04","0,2","1,85","1,77",<DL,"413,88","1171,15","5572,1"
m21/26_49-53,"839,22","13,87","5,62","48,42","0,56","1,01","17,86","4,46","0,06","0,24","0,03","5,64","2,71","0,55","2,25","0,43","0,08","0,36","0,04","0,25","0,04","0,13",<DL,"0,09",0,"1,27","810,88","3114,84","346,53","71260,43","1821,72","1,63","0,05","4,09","0,87","215,38",<DL,<DL,"0,01",<DL,<DL,<DL,<DL,<DL,"0,01","0,39","0,19",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,1",<DL,"0,05","0,19","2,17","1,92",<DL,"576,69","1132,74","5326,29"
m21/26_5-7,"648,35","12,45","4,84","53,25","0,65","0,95","5,89","0,48",<DL,"0,19","0,01","1,46","2,58","0,36","1,44","0,29","0,05","0,23","0,02","0,17","0,02","0,08",<DL,"0,06",0,"0,24","627,65","1853,54","323,82","29975,8","1661,43","1,18","0,07","3,73","0,73","86,56",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,01","0,09",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"1,27",<DL,"0,06","0,1","2,96","1,22",<DL,"442,44","1125,89","5347,45"
m21/26_57-59,"792,16","11,47","5,79","69,25","0,68","1,2","2,86","3,25","0,01","0,21","0,06","2,22","3,09","0,54","2,23","0,45","0,08","0,36","0,04","0,27","0,04","0,14",<DL,"0,1","0,01",<DL,"915,36","4636,8","376,25","100491,2","1608,21","1,58","0,06","5,2","0,76","223,08",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,01","0,13","0,34",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"0,83",<DL,"0,06","0,28","2,17","1,64",<DL,"583,52","1191,76","5570,39"
m21/26_63-66,"2826,65","29,36","13,33","123,48","2,76","4,47","14,46","13,5","0,28","0,36","0,05","6,97","11,99","1,82","7,31","1,53","0,29","1,23","0,16","0,89","0,16","0,44","0,04","0,34","0,04","0,2","2261,31","4025,69","1155,47","59653,36","4241,49","4,35","0,22","13,61","1,69","91,74",<DL,<DL,<DL,"0,57",<DL,<DL,"0,03",<DL,"0,01","0,18","3,64",<DL,<DL,<DL,<DL,<DL,<DL,<DL,"3,62",<DL,"0,18","0,36","5,95","1,25",<DL,"1547,44","1081,43","4762,05"
